from,to,title,length,win,color,arrows,dashes,value,smooth
3,42,<p> Match Cnt : <b>1581</b><br> Winning rate : <b>52.56</b></p>,1000,52.56,#8CB4F7,to,FALSE,1581,FALSE
3,97,<p> Match Cnt : <b>1560</b><br> Winning rate : <b>46.67</b></p>,1000,46.67,#F6807F,to,FALSE,1560,FALSE
3,108,<p> Match Cnt : <b>1331</b><br> Winning rate : <b>42.15</b></p>,1000,42.15,#F6807F,to,FALSE,1331,FALSE
3,21,<p> Match Cnt : <b>986</b><br> Winning rate : <b>49.59</b></p>,1000,49.59,#F6807F,to,FALSE,986,FALSE
3,47,<p> Match Cnt : <b>986</b><br> Winning rate : <b>49.49</b></p>,1000,49.49,#F6807F,to,FALSE,986,FALSE
3,71,<p> Match Cnt : <b>930</b><br> Winning rate : <b>50</b></p>,1000,50,#C4F2C2,to,FALSE,930,FALSE
3,38,<p> Match Cnt : <b>913</b><br> Winning rate : <b>51.7</b></p>,1000,51.7,#8CB4F7,to,FALSE,913,FALSE
3,64,<p> Match Cnt : <b>910</b><br> Winning rate : <b>44.84</b></p>,1000,44.84,#F6807F,to,FALSE,910,FALSE
3,34,<p> Match Cnt : <b>847</b><br> Winning rate : <b>52.18</b></p>,1000,52.18,#8CB4F7,to,FALSE,847,FALSE
3,76,<p> Match Cnt : <b>822</b><br> Winning rate : <b>49.27</b></p>,1000,49.27,#F6807F,to,FALSE,822,FALSE
3,46,<p> Match Cnt : <b>817</b><br> Winning rate : <b>48.71</b></p>,1000,48.71,#F6807F,to,FALSE,817,FALSE
3,30,<p> Match Cnt : <b>788</b><br> Winning rate : <b>48.1</b></p>,1000,48.1,#F6807F,to,FALSE,788,FALSE
3,87,<p> Match Cnt : <b>775</b><br> Winning rate : <b>48.65</b></p>,1000,48.65,#F6807F,to,FALSE,775,FALSE
3,35,<p> Match Cnt : <b>771</b><br> Winning rate : <b>49.81</b></p>,1000,49.81,#F6807F,to,FALSE,771,FALSE
3,99,<p> Match Cnt : <b>703</b><br> Winning rate : <b>49.79</b></p>,1000,49.79,#F6807F,to,FALSE,703,FALSE
3,138,<p> Match Cnt : <b>662</b><br> Winning rate : <b>47.28</b></p>,1000,47.28,#F6807F,to,FALSE,662,FALSE
3,100,<p> Match Cnt : <b>641</b><br> Winning rate : <b>49.3</b></p>,1000,49.3,#F6807F,to,FALSE,641,FALSE
3,139,<p> Match Cnt : <b>627</b><br> Winning rate : <b>47.85</b></p>,1000,47.85,#F6807F,to,FALSE,627,FALSE
3,122,<p> Match Cnt : <b>567</b><br> Winning rate : <b>50.79</b></p>,1000,50.79,#8CB4F7,to,FALSE,567,FALSE
3,56,<p> Match Cnt : <b>556</b><br> Winning rate : <b>44.42</b></p>,1000,44.42,#F6807F,to,FALSE,556,FALSE
3,33,<p> Match Cnt : <b>489</b><br> Winning rate : <b>49.9</b></p>,1000,49.9,#F6807F,to,FALSE,489,FALSE
3,58,<p> Match Cnt : <b>477</b><br> Winning rate : <b>47.38</b></p>,1000,47.38,#F6807F,to,FALSE,477,FALSE
3,17,<p> Match Cnt : <b>470</b><br> Winning rate : <b>47.02</b></p>,1000,47.02,#F6807F,to,FALSE,470,FALSE
3,79,<p> Match Cnt : <b>460</b><br> Winning rate : <b>45.43</b></p>,1000,45.43,#F6807F,to,FALSE,460,FALSE
3,132,<p> Match Cnt : <b>457</b><br> Winning rate : <b>51.42</b></p>,1000,51.42,#8CB4F7,to,FALSE,457,FALSE
3,111,<p> Match Cnt : <b>430</b><br> Winning rate : <b>45.35</b></p>,1000,45.35,#F6807F,to,FALSE,430,FALSE
3,61,<p> Match Cnt : <b>417</b><br> Winning rate : <b>44.36</b></p>,1000,44.36,#F6807F,to,FALSE,417,FALSE
3,141,<p> Match Cnt : <b>381</b><br> Winning rate : <b>47.51</b></p>,1000,47.51,#F6807F,to,FALSE,381,FALSE
3,68,<p> Match Cnt : <b>372</b><br> Winning rate : <b>49.73</b></p>,1000,49.73,#F6807F,to,FALSE,372,FALSE
3,130,<p> Match Cnt : <b>370</b><br> Winning rate : <b>48.38</b></p>,1000,48.38,#F6807F,to,FALSE,370,FALSE
3,73,<p> Match Cnt : <b>353</b><br> Winning rate : <b>40.23</b></p>,1000,40.23,#F6807F,to,FALSE,353,FALSE
3,89,<p> Match Cnt : <b>347</b><br> Winning rate : <b>44.96</b></p>,1000,44.96,#F6807F,to,FALSE,347,FALSE
3,145,<p> Match Cnt : <b>316</b><br> Winning rate : <b>47.15</b></p>,1000,47.15,#F6807F,to,FALSE,316,FALSE
3,136,<p> Match Cnt : <b>301</b><br> Winning rate : <b>49.83</b></p>,1000,49.83,#F6807F,to,FALSE,301,FALSE
3,126,<p> Match Cnt : <b>293</b><br> Winning rate : <b>45.73</b></p>,1000,45.73,#F6807F,to,FALSE,293,FALSE
3,101,<p> Match Cnt : <b>267</b><br> Winning rate : <b>50.19</b></p>,1000,50.19,#8CB4F7,to,FALSE,267,FALSE
3,98,<p> Match Cnt : <b>263</b><br> Winning rate : <b>44.87</b></p>,1000,44.87,#F6807F,to,FALSE,263,FALSE
3,19,<p> Match Cnt : <b>238</b><br> Winning rate : <b>47.9</b></p>,1000,47.9,#F6807F,to,FALSE,238,FALSE
3,140,<p> Match Cnt : <b>221</b><br> Winning rate : <b>48.87</b></p>,1000,48.87,#F6807F,to,FALSE,221,FALSE
3,146,<p> Match Cnt : <b>212</b><br> Winning rate : <b>43.4</b></p>,1000,43.4,#F6807F,to,FALSE,212,FALSE
3,23,<p> Match Cnt : <b>212</b><br> Winning rate : <b>44.81</b></p>,1000,44.81,#F6807F,to,FALSE,212,FALSE
