id,shape,size,title,value,label,group,color,shadow
45,triangle,145086,<p>Line : <b>J</b><br>Match Cnt : <b>145086</b><br>Tier : <b>4</b></p>,14508600,Jarvan IV,J,#FFFFCC,FALSE
142,square,12356,<p>Line : <b>A</b><br>Match Cnt : <b>12356</b><br>Tier : <b>5</b></p>,1235600,Xayah,A,#FDC086,FALSE
153,diamond,149031,<p>Line : <b>S</b><br>Match Cnt : <b>149031</b><br>Tier : <b>2</b></p>,14903100,Zyra,S,#FCCDE5,FALSE
149,triangle,50628,<p>Line : <b>TJS</b><br>Match Cnt : <b>50628</b><br>Tier : <b>4</b></p>,5062800,Zac,TJS,#BEBADA,FALSE
44,circle,42907,<p>Line : <b>S</b><br>Match Cnt : <b>42907</b><br>Tier : <b>3</b></p>,4290700,Janna,S,#FCCDE5,FALSE
46,square,5209,<p>Line : <b>TJ</b><br>Match Cnt : <b>5209</b><br>Tier : <b>5</b></p>,520900,Jax,TJ,#CBD5E8,FALSE
150,star,3629,<p>Line : <b>M</b><br>Match Cnt : <b>3629</b><br>Tier : <b>1</b></p>,362900,Zed,M,#E5C494,FALSE
143,diamond,24854,<p>Line : <b>MS</b><br>Match Cnt : <b>24854</b><br>Tier : <b>2</b></p>,2485400,Xerath,MS,#8DA0CB,FALSE
47,circle,27324,<p>Line : <b>TM</b><br>Match Cnt : <b>27324</b><br>Tier : <b>3</b></p>,2732400,Jayce,TM,#E41A1C,FALSE
152,diamond,4943,<p>Line : <b>M</b><br>Match Cnt : <b>4943</b><br>Tier : <b>2</b></p>,494300,Zoe,M,#E5C494,FALSE
48,diamond,15530,<p>Line : <b>A</b><br>Match Cnt : <b>15530</b><br>Tier : <b>2</b></p>,1553000,Jhin,A,#FDC086,FALSE
151,diamond,32892,<p>Line : <b>S</b><br>Match Cnt : <b>32892</b><br>Tier : <b>2</b></p>,3289200,Zilean,S,#FCCDE5,FALSE
49,diamond,117494,<p>Line : <b>A</b><br>Match Cnt : <b>117494</b><br>Tier : <b>2</b></p>,11749400,Jinx,A,#FDC086,FALSE
19,square,7537,<p>Line : <b>TM</b><br>Match Cnt : <b>7537</b><br>Tier : <b>5</b></p>,753700,Cho'Gath,TM,#E41A1C,FALSE
52,circle,4478,<p>Line : <b>S</b><br>Match Cnt : <b>4478</b><br>Tier : <b>3</b></p>,447800,Karma,S,#FCCDE5,FALSE
17,square,7026,<p>Line : <b>TM</b><br>Match Cnt : <b>7026</b><br>Tier : <b>5</b></p>,702600,Camille,TM,#E41A1C,FALSE
54,circle,37920,<p>Line : <b>M</b><br>Match Cnt : <b>37920</b><br>Tier : <b>3</b></p>,3792000,Kassadin,M,#E5C494,FALSE
53,diamond,2580,<p>Line : <b>J</b><br>Match Cnt : <b>2580</b><br>Tier : <b>2</b></p>,258000,Karthus,J,#FFFFCC,FALSE
18,triangle,15032,<p>Line : <b>M</b><br>Match Cnt : <b>15032</b><br>Tier : <b>4</b></p>,1503200,Cassiopeia,M,#E5C494,FALSE
50,star,89152,<p>Line : <b>A</b><br>Match Cnt : <b>89152</b><br>Tier : <b>1</b></p>,8915200,Kai'Sa,A,#FDC086,FALSE
59,circle,105648,<p>Line : <b>J</b><br>Match Cnt : <b>105648</b><br>Tier : <b>3</b></p>,10564800,Kha'Zix,J,#FFFFCC,FALSE
55,star,9029,<p>Line : <b>M</b><br>Match Cnt : <b>9029</b><br>Tier : <b>1</b></p>,902900,Katarina,M,#E5C494,FALSE
51,square,7987,<p>Line : <b>TA</b><br>Match Cnt : <b>7987</b><br>Tier : <b>5</b></p>,798700,Kalista,TA,#F0027F,FALSE
58,triangle,25553,<p>Line : <b>T</b><br>Match Cnt : <b>25553</b><br>Tier : <b>4</b></p>,2555300,Kennen,T,#BEAED4,FALSE
16,circle,8411,<p>Line : <b>A</b><br>Match Cnt : <b>8411</b><br>Tier : <b>3</b></p>,841100,Caitlyn,A,#FDC086,FALSE
57,circle,10463,<p>Line : <b>J</b><br>Match Cnt : <b>10463</b><br>Tier : <b>3</b></p>,1046300,Kayn,J,#FFFFCC,FALSE
56,triangle,9874,<p>Line : <b>T</b><br>Match Cnt : <b>9874</b><br>Tier : <b>4</b></p>,987400,Kayle,T,#BEAED4,FALSE
62,triangle,33032,<p>Line : <b>A</b><br>Match Cnt : <b>33032</b><br>Tier : <b>4</b></p>,3303200,Kog'Maw,A,#FDC086,FALSE
20,square,73551,<p>Line : <b>M</b><br>Match Cnt : <b>73551</b><br>Tier : <b>5</b></p>,7355100,Corki,M,#E5C494,FALSE
92,triangle,3844,<p>Line : <b>T</b><br>Match Cnt : <b>3844</b><br>Tier : <b>4</b></p>,384400,Quinn,T,#BEAED4,FALSE
61,circle,9094,<p>Line : <b>TM</b><br>Match Cnt : <b>9094</b><br>Tier : <b>3</b></p>,909400,Kled,TM,#E41A1C,FALSE
91,star,9232,<p>Line : <b>M</b><br>Match Cnt : <b>9232</b><br>Tier : <b>1</b></p>,923200,Qiyana,M,#E5C494,FALSE
60,diamond,97397,<p>Line : <b>J</b><br>Match Cnt : <b>97397</b><br>Tier : <b>2</b></p>,9739700,Kindred,J,#FFFFCC,FALSE
121,square,20858,<p>Line : <b>S</b><br>Match Cnt : <b>20858</b><br>Tier : <b>5</b></p>,2085800,Taric,S,#FCCDE5,FALSE
120,star,37162,<p>Line : <b>M</b><br>Match Cnt : <b>37162</b><br>Tier : <b>1</b></p>,3716200,Talon,M,#E5C494,FALSE
119,diamond,29645,<p>Line : <b>J</b><br>Match Cnt : <b>29645</b><br>Tier : <b>2</b></p>,2964500,Taliyah,J,#FFFFCC,FALSE
118,circle,20951,<p>Line : <b>A</b><br>Match Cnt : <b>20951</b><br>Tier : <b>3</b></p>,2095100,Tahm Kench,A,#FDC086,FALSE
125,square,27752,<p>Line : <b>TJ</b><br>Match Cnt : <b>27752</b><br>Tier : <b>5</b></p>,2775200,Trundle,TJ,#CBD5E8,FALSE
124,triangle,12636,<p>Line : <b>MA</b><br>Match Cnt : <b>12636</b><br>Tier : <b>4</b></p>,1263600,Tristana,MA,#7FC97F,FALSE
126,triangle,103632,<p>Line : <b>T</b><br>Match Cnt : <b>103632</b><br>Tier : <b>4</b></p>,10363200,Tryndamere,T,#BEAED4,FALSE
127,circle,33898,<p>Line : <b>M</b><br>Match Cnt : <b>33898</b><br>Tier : <b>3</b></p>,3389800,Twisted Fate,M,#E5C494,FALSE
128,triangle,105922,<p>Line : <b>A</b><br>Match Cnt : <b>105922</b><br>Tier : <b>4</b></p>,10592200,Twitch,A,#FDC086,FALSE
122,square,42483,<p>Line : <b>T</b><br>Match Cnt : <b>42483</b><br>Tier : <b>5</b></p>,4248300,Teemo,T,#BEAED4,FALSE
90,diamond,3980,<p>Line : <b>S</b><br>Match Cnt : <b>3980</b><br>Tier : <b>2</b></p>,398000,Pyke,S,#FCCDE5,FALSE
88,circle,37710,<p>Line : <b>TMS</b><br>Match Cnt : <b>37710</b><br>Tier : <b>3</b></p>,3771000,Pantheon,TMS,#FFFF99,FALSE
29,diamond,29396,<p>Line : <b>J</b><br>Match Cnt : <b>29396</b><br>Tier : <b>2</b></p>,2939600,Fiddlesticks,J,#FFFFCC,FALSE
30,diamond,57235,<p>Line : <b>T</b><br>Match Cnt : <b>57235</b><br>Tier : <b>2</b></p>,5723500,Fiora,T,#BEAED4,FALSE
31,diamond,12983,<p>Line : <b>M</b><br>Match Cnt : <b>12983</b><br>Tier : <b>2</b></p>,1298300,Fizz,M,#E5C494,FALSE
40,triangle,13382,<p>Line : <b>T</b><br>Match Cnt : <b>13382</b><br>Tier : <b>4</b></p>,1338200,Heimerdinger,T,#BEAED4,FALSE
39,square,13973,<p>Line : <b>J</b><br>Match Cnt : <b>13973</b><br>Tier : <b>5</b></p>,1397300,Hecarim,J,#FFFFCC,FALSE
